group,team,confederation,is_host
A,Mexico,CONCACAF,1
A,South Korea,AFC,0
A,South Africa,CAF,0
A,Czech Republic,UEFA,0
B,Canada,CONCACAF,1
B,Bosnia Herzegovina,UEFA,0
B,Qatar,AFC,0
B,Switzerland,UEFA,0
C,Brazil,CONMEBOL,0
C,Morocco,CAF,0
C,Haiti,CONCACAF,0
C,Scotland,UEFA,0
D,USA,CONCACAF,1
D,Paraguay,CONMEBOL,0
D,Australia,AFC,0
D,Turkey,UEFA,0
E,Germany,UEFA,0
E,Ecuador,CONMEBOL,0
E,Ivory Coast,CAF,0
E,Curacao,CONCACAF,0
F,Netherlands,UEFA,0
F,Japan,AFC,0
F,Sweden,UEFA,0
F,Tunisia,CAF,0
G,Belgium,UEFA,0
G,Egypt,CAF,0
G,Iran,AFC,0
G,New Zealand,OFC,0
H,Spain,UEFA,0
H,Uruguay,CONMEBOL,0
H,Saudi Arabia,AFC,0
H,Cape Verde,CAF,0
I,France,UEFA,0
I,Senegal,CAF,0
I,Norway,UEFA,0
I,Iraq,AFC,0
J,Argentina,CONMEBOL,0
J,Austria,UEFA,0
J,Algeria,CAF,0
J,Jordan,AFC,0
K,Portugal,UEFA,0
K,Colombia,CONMEBOL,0
K,Uzbekistan,AFC,0
K,DR Congo,CAF,0
L,England,UEFA,0
L,Croatia,UEFA,0
L,Ghana,CAF,0
L,Panama,CONCACAF,0
