final,count,probability_pct
Portugal vs Switzerland,2,4.0
Canada vs Portugal,2,4.0
Bolivia vs Germany,1,2.0
Brazil vs South Korea,1,2.0
Denmark vs Italy,1,2.0
Germany vs Uruguay,1,2.0
Egypt vs Uruguay,1,2.0
Australia vs Wales,1,2.0
Netherlands vs Uruguay,1,2.0
Brazil vs Canada,1,2.0
Brazil vs France,1,2.0
Spain vs USA,1,2.0
Germany vs USA,1,2.0
Argentina vs Denmark,1,2.0
Algeria vs Morocco,1,2.0
Netherlands vs Portugal,1,2.0
Croatia vs South Korea,1,2.0
Netherlands vs Spain,1,2.0
France vs Saudi Arabia,1,2.0
Denmark vs Switzerland,1,2.0
France vs Netherlands,1,2.0
Colombia vs Serbia,1,2.0
Colombia vs Wales,1,2.0
Denmark vs Portugal,1,2.0
Colombia vs Morocco,1,2.0
