group,teams,average_rating,average_power_score,max_rating,min_rating
F,Netherlands / Japan / Sweden / Tunisia,59.2,50.0,67.2,52.2
I,France / Senegal / Norway / Iraq,58.3,50.0,70.3,43.6
D,USA / Turkey / Australia / Paraguay,57.2,50.0,61.7,50.1
C,Brazil / Morocco / Scotland / Haiti,57.2,50.0,69.5,36.4
L,England / Croatia / Ghana / Panama,57.2,50.0,69.3,43.7
H,Spain / Uruguay / Saudi Arabia / Cape Verde,56.6,50.0,70.7,41.8
J,Argentina / Austria / Algeria / Jordan,56.6,50.0,71.1,40.9
K,Portugal / Colombia / DR Congo / Uzbekistan,56.1,50.0,68.8,44.2
A,Mexico / South Korea / Czech Republic / South Africa,55.1,50.0,63.7,44.0
G,Belgium / Iran / Egypt / New Zealand,54.5,50.0,64.5,39.9
E,Germany / Ecuador / Ivory Coast / Curacao,53.8,50.0,67.4,35.2
B,Switzerland / Canada / Bosnia Herzegovina / Qatar,52.4,50.0,61.1,45.3
