team,titles,champion_pct,Dieciseisavos_rival,Dieciseisavos_freq_pct,Octavos_rival,Octavos_freq_pct,Cuartos_rival,Cuartos_freq_pct,Semifinal_rival,Semifinal_freq_pct
Argentina,6,20.0,Morocco,66.7,Iraq,33.3,England,33.3,Belgium,50.0
Spain,3,10.0,Ivory Coast,33.3,Iran,33.3,Germany,33.3,Mexico,33.3
USA,3,10.0,Norway,66.7,South Africa,33.3,Jordan,33.3,Portugal,33.3
Colombia,2,6.67,Switzerland,100.0,South Korea,50.0,Argentina,50.0,Belgium,50.0
France,2,6.67,Australia,50.0,Scotland,50.0,Canada,50.0,Haiti,50.0
Germany,2,6.67,Spain,50.0,Iran,50.0,Sweden,50.0,Norway,50.0
Norway,2,6.67,Uzbekistan,50.0,Japan,50.0,Iran,50.0,Panama,50.0
Paraguay,1,3.33,France,100.0,Argentina,100.0,Croatia,100.0,Colombia,100.0
Uruguay,1,3.33,Ecuador,100.0,Belgium,100.0,Japan,100.0,Norway,100.0
Morocco,1,3.33,Algeria,100.0,France,100.0,Croatia,100.0,Senegal,100.0
Netherlands,1,3.33,Iran,100.0,Spain,100.0,Ecuador,100.0,Switzerland,100.0
Czech Republic,1,3.33,Saudi Arabia,100.0,Tunisia,100.0,Senegal,100.0,DR Congo,100.0
Brazil,1,3.33,Argentina,100.0,Australia,100.0,Canada,100.0,Czech Republic,100.0
Austria,1,3.33,Cape Verde,100.0,France,100.0,Panama,100.0,England,100.0
Portugal,1,3.33,Canada,100.0,Czech Republic,100.0,Brazil,100.0,Switzerland,100.0
Ivory Coast,1,3.33,Scotland,100.0,Czech Republic,100.0,Egypt,100.0,South Korea,100.0
Croatia,1,3.33,South Korea,100.0,Portugal,100.0,Argentina,100.0,Scotland,100.0
