team,group,confederation,overall_rating,attack_coef,defense_coef,pass_group_stage_pct,reach_round32_pct,reach_round16_pct,reach_quarters_pct,reach_semis_pct,reach_final_pct,champion_pct,group_exit_pct
Switzerland,L,UEFA,74.3,1.19,0.8,74.0,74.0,40.0,24.0,20.0,2.0,14.0,26.0
Portugal,G,UEFA,85.1,1.36,0.76,90.0,90.0,56.0,30.0,20.0,4.0,14.0,10.0
Spain,D,UEFA,88.2,1.38,0.7,82.0,82.0,52.0,34.0,18.0,4.0,8.0,18.0
France,C,UEFA,88.5,1.42,0.68,96.0,96.0,60.0,28.0,16.0,4.0,6.0,4.0
Germany,E,UEFA,84.1,1.31,0.74,98.0,98.0,60.0,34.0,20.0,4.0,6.0,2.0
England,H,UEFA,85.5,1.33,0.74,88.0,88.0,50.0,28.0,16.0,0.0,6.0,12.0
Egypt,J,CAF,63.6,1.11,0.87,50.0,50.0,28.0,10.0,6.0,0.0,6.0,50.0
Uruguay,A,CONMEBOL,80.0,1.25,0.77,76.0,76.0,32.0,22.0,14.0,6.0,4.0,24.0
Brazil,F,CONMEBOL,86.9,1.37,0.72,90.0,90.0,56.0,36.0,16.0,6.0,4.0,10.0
USA,I,CONCACAF,74.2,1.19,0.83,60.0,60.0,28.0,22.0,14.0,2.0,4.0,40.0
Denmark,K,UEFA,75.7,1.2,0.79,80.0,80.0,50.0,30.0,20.0,10.0,4.0,20.0
Morocco,B,CAF,76.9,1.19,0.77,62.0,62.0,34.0,32.0,14.0,0.0,4.0,38.0
Wales,L,UEFA,68.3,1.14,0.84,64.0,64.0,42.0,20.0,10.0,0.0,4.0,36.0
Algeria,C,CAF,62.9,1.13,0.86,66.0,66.0,24.0,8.0,6.0,2.0,2.0,34.0
Argentina,B,CONMEBOL,88.5,1.4,0.73,94.0,94.0,56.0,28.0,12.0,4.0,2.0,6.0
Serbia,D,UEFA,71.6,1.2,0.82,76.0,76.0,32.0,20.0,10.0,2.0,2.0,24.0
Venezuela,B,CONMEBOL,54.1,1.07,0.91,64.0,64.0,24.0,6.0,2.0,0.0,2.0,36.0
South Korea,G,AFC,72.6,1.2,0.83,66.0,66.0,30.0,12.0,8.0,4.0,2.0,34.0
Canada,K,CONCACAF,66.8,1.16,0.84,64.0,64.0,28.0,16.0,10.0,4.0,2.0,36.0
Netherlands,I,UEFA,82.7,1.3,0.75,90.0,90.0,52.0,34.0,22.0,10.0,2.0,10.0
Senegal,H,CAF,74.0,1.2,0.81,74.0,74.0,42.0,18.0,4.0,2.0,2.0,26.0
Panama,A,CONCACAF,52.1,1.02,0.9,52.0,52.0,18.0,2.0,2.0,0.0,0.0,48.0
Mexico,A,CONCACAF,76.5,1.22,0.82,86.0,86.0,44.0,18.0,4.0,0.0,0.0,14.0
New Zealand,B,OFC,43.9,0.94,0.96,36.0,36.0,6.0,0.0,0.0,0.0,0.0,64.0
Costa Rica,D,CONCACAF,58.3,1.07,0.89,48.0,48.0,20.0,10.0,0.0,0.0,0.0,52.0
Ecuador,D,CONMEBOL,67.0,1.17,0.85,64.0,64.0,28.0,14.0,4.0,2.0,0.0,36.0
Australia,C,AFC,68.3,1.14,0.84,56.0,56.0,24.0,10.0,2.0,2.0,0.0,44.0
Mali,C,CAF,57.7,1.1,0.89,46.0,46.0,6.0,0.0,0.0,0.0,0.0,54.0
Bolivia,A,CONMEBOL,46.0,0.97,0.95,60.0,60.0,24.0,10.0,4.0,2.0,0.0,40.0
Thailand,F,AFC,36.2,0.9,1.01,48.0,48.0,14.0,2.0,2.0,0.0,0.0,52.0
Ghana,E,CAF,58.4,1.11,0.89,60.0,60.0,28.0,4.0,2.0,0.0,0.0,40.0
Japan,E,AFC,76.2,1.21,0.81,70.0,70.0,34.0,24.0,14.0,2.0,0.0,30.0
Iran,H,AFC,63.6,1.08,0.88,48.0,48.0,20.0,8.0,4.0,2.0,0.0,52.0
Nigeria,H,CAF,66.0,1.17,0.87,70.0,70.0,32.0,8.0,4.0,0.0,0.0,30.0
Tunisia,G,CAF,65.7,1.11,0.86,66.0,66.0,32.0,12.0,2.0,0.0,0.0,34.0
Jamaica,G,CONCACAF,50.8,0.99,0.94,42.0,42.0,10.0,2.0,0.0,0.0,0.0,58.0
Honduras,E,CONCACAF,48.6,0.99,0.93,34.0,34.0,10.0,4.0,2.0,0.0,0.0,66.0
Colombia,F,CONMEBOL,78.4,1.26,0.8,82.0,82.0,38.0,20.0,12.0,8.0,0.0,18.0
Indonesia,F,AFC,35.4,0.91,1.0,44.0,44.0,10.0,0.0,0.0,0.0,0.0,56.0
Saudi Arabia,I,AFC,57.8,1.08,0.89,50.0,50.0,20.0,10.0,6.0,2.0,0.0,50.0
Qatar,J,AFC,56.0,1.02,0.95,50.0,50.0,22.0,12.0,2.0,0.0,0.0,50.0
Croatia,J,UEFA,78.5,1.22,0.78,76.0,76.0,46.0,30.0,18.0,6.0,0.0,24.0
Belgium,J,UEFA,80.6,1.27,0.78,86.0,86.0,58.0,30.0,14.0,2.0,0.0,14.0
Paraguay,I,CONMEBOL,55.9,1.07,0.9,60.0,60.0,30.0,10.0,2.0,0.0,0.0,40.0
Cameroon,K,CAF,62.9,1.12,0.87,40.0,40.0,20.0,6.0,2.0,0.0,0.0,60.0
Italy,K,UEFA,80.8,1.24,0.73,82.0,82.0,46.0,30.0,14.0,2.0,0.0,18.0
Poland,L,UEFA,70.8,1.17,0.83,76.0,76.0,58.0,24.0,4.0,0.0,0.0,24.0
Ivory Coast,L,CAF,65.0,1.16,0.87,64.0,64.0,26.0,8.0,2.0,0.0,0.0,36.0
