team,group,overall_rating,power_score,champion_pct,reach_semis_pct,group_exit_pct,consistency_index,variance_index
Spain,H,70.7,50.0,17.05,30.6,3.3,7.116,56.265
Argentina,J,71.1,50.0,4.55,24.95,3.9,5.092,17.745
France,I,70.3,50.0,4.35,27.1,5.05,4.479,21.967
Portugal,K,68.8,50.0,4.25,24.3,4.7,4.263,19.975
England,L,69.3,50.0,5.05,25.3,5.75,3.748,29.037
Germany,E,67.4,50.0,9.55,19.0,4.8,3.276,45.84
Brazil,C,69.5,50.0,6.4,21.3,6.4,2.878,40.96
Belgium,G,64.5,50.0,5.85,13.5,3.85,2.784,22.522
Netherlands,F,67.2,50.0,9.55,20.1,9.25,1.961,88.338
Colombia,K,64.3,50.0,3.05,15.5,10.7,1.325,32.635
Croatia,L,64.9,50.0,2.95,14.95,11.15,1.23,32.893
Uruguay,H,64.5,50.0,4.6,13.65,10.9,1.147,50.14
Switzerland,B,61.1,50.0,2.5,11.2,11.15,0.922,27.875
Norway,I,59.4,50.0,1.45,10.55,14.05,0.701,20.372
Austria,J,58.8,50.0,1.7,10.4,14.5,0.671,24.65
Turkey,D,59.1,50.0,2.45,10.95,15.7,0.656,38.465
Czech Republic,A,53.3,50.0,1.8,8.6,12.75,0.625,22.95
Ecuador,E,57.2,50.0,2.45,9.45,14.3,0.618,35.035
Sweden,F,56.9,50.0,2.95,9.7,18.7,0.492,55.165
Scotland,C,56.1,50.0,1.3,9.2,18.15,0.48,23.595
Bosnia Herzegovina,B,48.0,50.0,1.2,6.7,19.8,0.322,23.76
Morocco,C,67.0,50.0,0.75,8.5,25.4,0.322,19.05
Mexico,A,63.7,50.0,0.7,5.8,23.45,0.237,16.415
Paraguay,D,50.1,50.0,0.5,5.25,27.0,0.188,13.5
Iran,G,59.8,50.0,0.45,3.95,22.05,0.171,9.923
USA,D,61.7,50.0,0.4,4.15,34.2,0.118,13.68
Canada,B,55.4,50.0,0.15,3.6,34.6,0.101,5.19
South Korea,A,59.5,50.0,0.05,3.55,34.25,0.101,1.713
Senegal,I,59.8,50.0,0.5,4.1,42.35,0.095,21.175
Japan,F,60.6,50.0,0.35,3.45,43.9,0.077,15.365
Egypt,G,53.9,50.0,0.2,2.1,30.35,0.067,6.07
Algeria,J,55.4,50.0,0.15,2.7,47.7,0.055,7.155
Australia,D,57.7,50.0,0.2,2.7,49.7,0.053,9.94
Ivory Coast,E,55.5,50.0,0.1,1.95,40.7,0.047,4.07
Ghana,L,51.0,50.0,0.1,1.9,59.35,0.031,5.935
Tunisia,F,52.2,50.0,0.05,1.7,58.45,0.029,2.923
DR Congo,K,47.0,50.0,0.0,1.55,59.3,0.026,0.0
Saudi Arabia,H,49.5,50.0,0.15,1.25,57.2,0.021,8.58
Panama,L,43.7,50.0,0.0,1.05,63.1,0.016,0.0
Uzbekistan,K,44.2,50.0,0.05,0.8,65.1,0.012,3.255
Jordan,J,40.9,50.0,0.05,0.6,73.05,0.008,3.652
South Africa,A,44.0,50.0,0.05,0.45,56.7,0.008,2.835
Cape Verde,H,41.8,50.0,0.05,0.5,68.7,0.007,3.435
Qatar,B,45.3,50.0,0.0,0.45,64.75,0.007,0.0
Iraq,I,43.6,50.0,0.0,0.3,73.4,0.004,0.0
Haiti,C,36.4,50.0,0.0,0.3,78.65,0.004,0.0
Curacao,E,35.2,50.0,0.0,0.2,72.45,0.003,0.0
New Zealand,G,39.9,50.0,0.0,0.15,75.3,0.002,0.0
